"category_id","name"
1,"1980s"
2,"1990's"
3,"2.5D"
4,"2D"
5,"2D Fighter"
6,"2D Platformer"
7,"360 Video"
8,"3D"
9,"3D Fighter"
10,"3D Platformer"
11,"3D Vision"
12,"4 Player Local"
13,"4X"
14,"6DOF"
15,Abstract
16,Action
17,Action-Adventure
18,Action Roguelike
19,Action RPG
20,Action RTS
21,Addictive
22,Adventure
23,Agriculture
24,Aliens
25,Alternate History
26,Ambient
27,America
28,Animation & Modeling
29,Anime
30,Arcade
31,Archery
32,Arena Shooter
33,Artificial Intelligence
34,Assassin
35,Asymmetric VR
36,Asynchronous Multiplayer
37,Atmospheric
38,Audio Production
39,Auto Battler
40,Automation
41,Automobile Sim
42,Base-Building
43,Baseball
44,Based On A Novel
45,Basketball
46,Battle Royale
47,Beat 'em up
48,Beautiful
49,Bikes
50,Blood
51,Board Game
52,Boxing
53,Building
54,Bullet Hell
55,Bullet Time
56,Capitalism
57,Card Battler
58,Card Game
59,Cartoon
60,Cartoony
61,Casual
62,Cats
63,Character Action Game
64,Character Customization
65,Chess
66,Choices Matter
67,Choose Your Own Adventure
68,Cinematic
69,City Builder
70,Class-Based
71,Classic
72,Clicker
73,Co-op
74,Co-op Campaign
75,Cold War
76,Collectathon
77,Colony Sim
78,Colorful
79,Combat
80,Combat Racing
81,Comedy
82,Comic Book
83,Competitive
84,Conspiracy
85,Controller
86,Conversation
87,Cooking
88,Cozy
89,Crafting
90,Creature Collector
91,Crime
92,Crowdfunded
93,CRPG
94,Cult Classic
95,Cute
96,Cyberpunk
97,Cycling
98,Dark
99,Dark Comedy
100,Dark Fantasy
101,Dark Humor
102,Dating Sim
103,Deckbuilding
104,Demons
105,Design & Illustration
106,Destruction
107,Detective
108,Difficult
109,Dinosaurs
110,Diplomacy
111,Dog
112,Dragons
113,Drama
114,Driving
115,Dungeon Crawler
116,Dungeons & Dragons
117,Dynamic Narration
118,Dystopian
119,e-sports
120,Early Access
121,Economy
122,Education
123,Electronic Music
124,Emotional
125,Epic
126,Episodic
127,Escape Room
128,Experience
129,Experimental
130,Exploration
